観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
五十嵐酒造(株),飯能市,川寺667-1,実際の製造に参加し、本場の酒造りを体験できる蔵元です。体験のタイムテーブルは６：００～麹づくり、７：００～朝食、８：００～１０：００全体の仕込みです。１５：００～１７：００も作業がある場合があります。見学案内はとても丁寧で、布団に包まれた麹、低温管理で育てる酵母、上から見られる仕込中の酒などが見所です。ほんのり甘い麹の味見もできます。,050-3785-5680,＜受入時間＞9：00～16：00,無休,無料・酒造り体験は時間帯により有料（要問い合わせ）,http://www.snw.co.jp/~iga_s
加藤木材工業(株),飯能市,笠縫418,木を編む遊び「きあみ」を考案した西川材の利用に意欲的な建具メーカー。西川材の端材でファッショナブルなドアを製作し、さらにその端材で工作キット「きあみ」を考案。０．３ｍｍにスライスしたヒノキで木の温もりや香りを感じつつ、コースターやカゴを作れます。木造校舎のような工場です。製作工程はわかりやすく、ドアが形作られる様子が見学できます。木製内窓の後付施工も手がけ、木目のある空間提案も行っています。,042-972-2141,＜受入時間＞10：00～、13：00～,土、日、祝,400円（きあみ製作体験代込み）,http://www.katomokuzai.co.jp
協同組合　フォレスト西川,飯能市,阿須523-1,西川材をふんだんに使ったモデルハウスを持つ材木店。「日本の木をもっと使えるように」と製材だけではなく加工もしています。「地産地消」のため市役所のベンチや、図書館の木製学習スペースなどを手掛けました。工場では木材カットや腐敗を防ぐための薬剤処理、蒸気式乾燥機などが見られます。見学疲れの子どもが元気になるというモデルハウスは、直に木の温もりが感じられます。,042-974-4510,＜受入時間＞10：00～16：00,第2土、日、祝,見学3000円,http://www.forest-nishikawa.com/
飯能窯,飯能市,大字苅生28?1,奥武蔵の渓流のほとりにある陶芸教室も兼ねた窯元です。女性や外国人の来訪が多く、製作・鑑賞が楽しめます。綺麗な建物に小川のせせらぎとコーヒーの香りが漂う落ち着ける場所柄が自慢。休憩スペース兼直売所、来訪者の製作場、展示室、茶室などがあります。窯元の作品は色に優れ、受賞したものもあります。上薬も土も自家製。窯元の作業は窓越しで見学できることもあります。,042-973-9099,＜受入時間＞9：00～17：00（製作10：00～）,金、年末年始（12/28～1/8）,無料・製作有料（3000円～）,＊＊＊
(有)天ヶ瀬工業,飯能市,赤沢727-1,清爽な渓流前にある鉄を加工する会社。競馬場などの屋上手すりなどを手がけています。第一工場は溶接や曲げ、レーザー加工の作業。第二工場は削り、穴あけなどを行い、昔ながらの町工場にある使い手の少ない機械の稼働を見る事ができます。奥地で商売する秘訣は、土日稼働など他と違う特色を持つことだとか。オリジナルの“ボルトを締めるだけで組立可能”の移動式車庫キットの販売あり。,042-977-0464,＜受入時間＞9：00～16：00,火,無料,http://www.amagase-kk.co.jp/
「山田うどん」山田食品産業(株),入間市,宮寺宮ノ台4001,関東２５０店舗分の「山田うどん」のうどん・そば・ラーメン・やきそば等の麺類を中心とした食材を作る工場です。最初にビデオで詳細学習。特別ブレンドの小麦粉で作るうどんや、挽きたての粉を使うそばなど美味しさへのこだわりが明らかになります。その後、実際の現場を窓越しに見学。麺を出荷カゴに入れる鮮やかな手さばきが好評。惣菜工場も併設され、餃子・コロッケ・チャーハンなどの製造の様子も見学することができます。,04-2934-3121,＜受入時間＞10：00～（1日1回）,日,無料,http://www.yamada-udon.com/
セイキ販売(株)　武蔵工場,入間市,狭山ヶ原350,アイデアで業界をリードする特殊網戸トップメーカー。大手住宅メーカーの６割以上を手がけています。最大４ｍまで対応できる網戸、蜂の巣形状で断熱効果をもつスクリーン、巻取式やプリーツ加工など多様な網戸が見学可能です。全ての商品にちょっとした工夫が効いており、課題解決の手腕が一番の見所。「コロンブスの卵」という社内アイディアコンテストを毎年開催しています。,04-2934-7445,＜受入時間＞10：00～16：00,土、日、祝、会社指定の休日（夏季・年末年始）,無料,http://www.seiki.gr.jp/
(有)明日香,狭山市,加佐志201-1,関東で初の抹茶工場です。緑茶は「蒸す→揉みながら風で乾燥」の爽やかな鮮度感が売りですが、抹茶は「蒸す→輻射熱で乾燥→熟成→粉末化」の熟成感が売りです。工場は見学にも配慮されており「散茶冷却」が見所。茶葉を高さ７ｍまで吹き上げ、ぱらぱら落ちる工程を３回繰り返します。乾燥は加減が難しく、担当者の裁量が味を左右します。品評会では静岡をしのいだ味自慢の銘茶です。,04-2959-1815,＜受入時間＞9：00～17：00,不定休（都合が合えば随時）,無料,＊＊＊
(株)サンワ　狭山工場,狭山市,根岸571,車椅子の階段昇降用リフトを製造する会社です。リフトの実験施設を兼ねているため、社内の階段は全て造りが異なり、角度や段数、カーペットの有無、踊り場のないものなど様々。工場では１人が１つのテーブルでゼロから完成までを手がけています。階段昇降用リフト等の開発から製造の見学に加え、企業改善の分野でも注目されているため“社内の見える化”などの取り組み実例も見学可能です。,042-954-6611,＜受入時間＞9：30～12：00、13：30～16：00,土、日、祝、お盆、年末年始,無料,http://www.sunwa-jp.co.jp
(株)かにや,狭山市,柏原337-13,お菓子が大好きな若者達が製造・販売を手がける「お菓子工房」です。狭山茶をはじめとした埼玉県産の農産物など各地の最高素材を取り寄せてこだわりのお菓子を作ります。感覚をフルに使って、可能な限りの手づくり製造を心がけています。事務所には菓子の専門書が約１５００冊あり、先人の知恵を生かしつつ新製品開発にも意欲的に取り組んでいます。,04-2954-7111,＜受入時間＞10月の9：00～11：00のみ,火、水,＊＊＊,http://www.kaniya.co.jp
(株)倉片人形,所沢市,東新井町283,伝統技術を継承する数少ない工房で、創業１７０年の老舗です。広いショールームには２００体以上のお雛様があり、美人Ｎｏ．１を探すのも楽しみ。航空発祥の地の所沢らしく、飛行機の飛ぶ鬼ヶ島と五月人形のジオラマもあります。所沢で古くから生産されている押絵羽子板の展示もあります。小学校団体はお雛様を見た後、映像で製作工程を学び、その後製作現場を見学します。,04-2993-1351,＜受入時間＞6月～11月の9：00～15：00（工房見学は小学生団体のみ）,土、日、祝（ショールーム11月中旬～5月3日は無休）,無料,http://www.k-doll.co.jp
